Name: CCTV3综艺[高清], URL: http://59.174.77.83:8848/rtp/239.69.1.122:10370$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 357 ms
Name: CCTV3综艺[高清], URL: http://116.226.14.76:8888/rtp/239.45.1.68:5140$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 361 ms
Name: CCTV3综艺[高清], URL: http://118.113.179.38:4022/rtp/239.93.1.11:2223$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 367 ms
Name: CCTV3综艺[高清], URL: http://180.158.164.233:8888/rtp/239.45.1.68:5140$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 369 ms
Name: CCTV3综艺[高清], URL: http://222.70.184.41:9898/rtp/239.45.1.68:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 374 ms
Name: CCTV3综艺[高清], URL: http://58.32.43.55:4022/rtp/239.45.1.68:5140$1920x1080, Date: 2024-08-29, Resolution: 1920x1080, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://59.174.227.133:8880/rtp/239.69.1.122:10370$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://60.164.128.167:8029/rtp/239.255.29.12:8231$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://118.81.35.18:8002/rtp/226.0.2.20:8072$720x576, Date: 2024-10-10, Resolution: 720x576, Response Time: 41 ms
Name: CCTV3综艺[高清], URL: http://60.220.167.87:8085/rtp/226.0.2.20:8072$720x576, Date: 2024-10-10, Resolution: 720x576, Response Time: 48 ms
Name: CCTV3综艺[高清], URL: http://118.81.35.16:8002/rtp/226.0.2.20:8072$720x576, Date: 2024-10-10, Resolution: 720x576, Response Time: 174 ms
Name: CCTV3综艺[高清], URL: http://60.186.200.183:8888/rtp/233.50.201.16:5140$720x576, Date: 2024-10-09, Resolution: 720x576, Response Time: 322 ms
Name: CCTV3综艺[高清], URL: http://220.184.31.152:55555/rtp/233.50.201.16:5140$720x576, Date: 2024-10-08, Resolution: 720x576, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://125.126.70.160:9999/rtp/233.50.201.16:5140$720x576, Date: 2024-10-09, Resolution: 720x576, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://49.76.186.70:8800/rtp/239.49.1.3:6000$720x576, Date: 2024-09-23, Resolution: 720x576, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://121.237.155.237:8800/rtp/239.49.1.3:6000$720x576, Date: 2024-09-23, Resolution: 720x576, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://114.226.231.215:8888/rtp/239.49.1.3:6000$720x576, Date: 2024-10-09, Resolution: 720x576, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://106.111.89.182:8866/rtp/239.49.1.3:6000$720x576, Date: 2024-10-04, Resolution: 720x576, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://117.86.191.207:8889/rtp/239.49.1.3:6000$720x576, Date: 2024-10-06, Resolution: 720x576, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://114.232.24.128:8888/rtp/239.49.1.3:6000$720x576, Date: 2024-10-04, Resolution: 720x576, Response Time: 375 ms
Name: CCTV3综艺[高清], URL: http://171.118.109.218:8085/rtp/226.0.2.20:8072, Date: 2024-10-02, Resolution: None, Response Time: 36 ms
Name: CCTV3综艺[高清], URL: http://60.220.167.25:8085/rtp/226.0.2.20:8072, Date: 2024-10-10, Resolution: None, Response Time: 39 ms
Name: CCTV3综艺[高清], URL: http://118.81.151.140:8082/rtp/226.0.2.20:8072, Date: 2024-10-10, Resolution: None, Response Time: 62 ms
Name: CCTV3综艺[高清], URL: http://171.116.226.246:8085/rtp/226.0.2.20:8072, Date: 2024-10-02, Resolution: None, Response Time: 101 ms
